image_id,category,ImageURL,group_id,split,label_conflict,ocr_text,product_name,canonical_product_name
img_0001,pate,http://minio-api.younetmedia.com/thumbnails/7596721863892471061/7596721863892471061_origin_cover.jpg,7596721863892471061,dev,False,,,
img_0002,pate,http://minio-api.younetmedia.com/thumbnails/7596721863892471061/7596721863892471061_music_cover.jpg,7596721863892471061,dev,False,,,
img_0003,pate,http://minio-api.younetmedia.com/thumbnails/7596721863892471061/7596721863892471061_cover.jpg,7596721863892471061,dev,False,Hệ Lụy Đồ Hộp,,
img_0004,pate,http://minio-api.younetmedia.com/thumbnails/7596721863892471061/7596721863892471061_dynamic_cover.jpg,7596721863892471061,dev,False,,,
img_0005,pate,http://minio-api.younetmedia.com/thumbnails/7594138583569550600/7594138583569550600_cover.jpg,7594138583569550600,train,False,MUKBANG Review ĐỒ HỘP HẠ LONG,Đồ Hộp Hạ Long,ĐỒ HỘP HẠ LONG
img_0006,pate,http://minio-api.younetmedia.com/thumbnails/7594138583569550600/7594138583569550600_dynamic_cover.jpg,7594138583569550600,train,False,MUKBANG Review ĐỒ HỘP HẠ LONG,Đồ Hộp Hạ Long,ĐỒ HỘP HẠ LONG
img_0007,pate,http://minio-api.younetmedia.com/thumbnails/7594138583569550600/7594138583569550600_music_cover.jpg,7594138583569550600,train,False,REVIEW MỌI THỨ TOMCHUTRUE REVIEW,,
img_0008,pate,http://minio-api.younetmedia.com/thumbnails/7594138583569550600/7594138583569550600_origin_cover.jpg,7594138583569550600,train,False,MUKBANG Review ĐỒ HỘP HẠ LONG,Đồ Hộp Hạ Long,ĐỒ HỘP HẠ LONG
img_0009,pate,http://minio-api.younetmedia.com/thumbnails/7593304194572963088/7593304194572963088_music_cover.jpg,7593304194572963088,dev,False,HÓNG SÀI GÒN,,
img_0010,pate,http://minio-api.younetmedia.com/thumbnails/7593304194572963088/7593304194572963088_cover.jpg,7593304194572963088,dev,False,"Hóng SÀI GÒN ĐỨT CHUỖI: NÉ ĐƯỢC TẤT CẢ CÚ LỪA 2025 NHƯNG ""SẢY CHÂN"" Ở HIGHLAND COFFEE VÌ TRÀ SEN VÀNG + BÁNH MÌ QUE?!",Highlands Coffee,Highlands Coffee
img_0011,pate,http://minio-api.younetmedia.com/thumbnails/7593304194572963088/7593304194572963088_origin_cover.jpg,7593304194572963088,dev,False,"Hóng SÀI GÒN ĐỨT CHUỖI: NÉ ĐƯỢC TẤT CẢ CÚ LỪA 2025 NHƯNG ""SẢY CHÂN"" Ở HIGHLAND COFFEE VÌ TRÀ SEN VÀNG + BÁNH MÌ QUE?!",Highlands Coffee,Highlands Coffee
img_0012,pate,http://minio-api.younetmedia.com/thumbnails/7593304194572963088/7593304194572963088_dynamic_cover.jpg,7593304194572963088,dev,False,"Hóng SÀI GÒN ĐỨT CHUỖI: NÉ ĐƯỢC TẤT CẢ CÚ LỪA 2025 NHƯNG ""SẢY CHÂN"" Ở HIGHLAND COFFEE VÌ TRÀ SEN VÀNG + BÁNH MÌ QUE?!",Highlands Coffee,Highlands Coffee
img_0013,pate,http://minio-api.younetmedia.com/thumbnails/7594030057782316308/7594030057782316308_origin_cover.jpg,7594030057782316308,train,False,"này là muốn tạo conten hả ?? hỏi thật Cô gái ăn patê cột đèn Hải Phòng giữa lúc drama, nhưng CĐM thấy cố tạo content, lẽ nào không biết?",Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0014,pate,http://minio-api.younetmedia.com/thumbnails/7594030057782316308/7594030057782316308_music_cover.jpg,7594030057782316308,train,False,,,
img_0015,pate,http://minio-api.younetmedia.com/thumbnails/7594030057782316308/7594030057782316308_dynamic_cover.jpg,7594030057782316308,train,False,"này là muốn tạo conten hả ?? hỏi thật Trả lời 1116 Cô gái ăn patê cột đèn Hải Phòng giữa lúc drama, nhưng CĐM thấy cố tạo content, lẽ nào không biết?",Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0016,pate,http://minio-api.younetmedia.com/thumbnails/7594030057782316308/7594030057782316308_cover.jpg,7594030057782316308,train,False,"này là muốn tạo conten hả ?? hỏi thật Trả lời 1116 Cô gái ăn patê cột đèn Hải Phòng giữa lúc drama, nhưng CĐM thấy cố tạo content, lẽ nào không biết?",Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0017,pate,http://minio-api.younetmedia.com/thumbnails/7592829557825080584/7592829557825080584_dynamic_cover.jpg,7592829557825080584,train,False,GÓC CHIA SẺ Chấn động thực phẩm Việt! Sở Y Tế thu khẩn hồi tới 25 triệu hộp pate Cột Đèn Hải Phòng vì liên quan thịt heo nhiễm dịch tả châu Phi!,Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0018,pate,http://minio-api.younetmedia.com/thumbnails/7592829557825080584/7592829557825080584_music_cover.jpg,7592829557825080584,train,False,8KBET GÓC CHIA SẺ,,
img_0019,pate,http://minio-api.younetmedia.com/thumbnails/7592829557825080584/7592829557825080584_origin_cover.jpg,7592829557825080584,train,False,GÓC CHIA SẺ Chấn động thực phẩm Việt! Sở Y Tế thu khẩn hồi tới 25 triệu hộp pate Cột Đèn Hải Phòng vì liên quan thịt heo nhiễm dịch tả châu Phi!,Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0020,pate,http://minio-api.younetmedia.com/thumbnails/7592829557825080584/7592829557825080584_cover.jpg,7592829557825080584,train,False,GÓC CHIA SẺ Chấn động thực phẩm Việt! Sở Y Tế thu khẩn hồi tới 25 triệu hộp pate Cột Đèn Hải Phòng vì liên quan thịt heo nhiễm dịch tả châu Phi!,Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0021,pate,http://minio-api.younetmedia.com/thumbnails/7594802025079131413/7594802025079131413_origin_cover.jpg,7594802025079131413,train,False,CÔNG TY CỔ PHẦN ĐỒ HỘP HALONG CAN KÊNH TIN TỨC NEWS Sở Y Tế ra quyết định cứng rắn! Giải thể Halong Canfoco sau bê bối dịch tả lợn châu Phi!,Halong Canfoco,Halong Canfoco
img_0022,pate,http://minio-api.younetmedia.com/thumbnails/7594802025079131413/7594802025079131413_music_cover.jpg,7594802025079131413,train,False,,,
img_0023,pate,http://minio-api.younetmedia.com/thumbnails/7594802025079131413/7594802025079131413_dynamic_cover.jpg,7594802025079131413,train,False,CÔNG TY CỔ PHẦN ĐỒ HỘP HALONG CAN KÊNH TIN TỨC NEWS Sở Y Tế ra quyết định cứng rắn! Giải thể Halong Canfoco sau bê bối dịch tả lợn châu Phi!,Halong Canfoco,Halong Canfoco
img_0024,pate,http://minio-api.younetmedia.com/thumbnails/7594802025079131413/7594802025079131413_cover.jpg,7594802025079131413,train,False,CÔNG TY CỔ PHẦN ĐỒ HỘP HALONG CAN KÊNH TIN TỨC NEWS Sở Y Tế ra quyết định cứng rắn! Giải thể Halong Canfoco sau bê bối dịch tả lợn châu Phi!,Halong Canfoco,Halong Canfoco
img_0025,pate,http://minio-api.younetmedia.com/thumbnails/7597387262317415688/7597387262317415688_music_cover.jpg,7597387262317415688,train,False,Nhân Hòa Foods,Nhân Hòa Foods,Nhân Hòa Foods
img_0026,pate,http://minio-api.younetmedia.com/thumbnails/7597387262317415688/7597387262317415688_cover.jpg,7597387262317415688,train,False,POV: Bạn thực sự đã tìm được bài hát về pate trên cuộc đời này =)) Nhân Hòa Foods POV: Thực sự có bài hát về pate,Nhân Hòa Foods,Nhân Hòa Foods
img_0027,pate,http://minio-api.younetmedia.com/thumbnails/7597387262317415688/7597387262317415688_dynamic_cover.jpg,7597387262317415688,train,False,POV: Bạn thực sự đã tìm được bài hát về pate trên cuộc đời này =)) Nhân Hòa Foods POV: Thực sự có bài hát về pate,Nhân Hòa Foods,Nhân Hòa Foods
img_0028,pate,http://minio-api.younetmedia.com/thumbnails/7597387262317415688/7597387262317415688_origin_cover.jpg,7597387262317415688,train,False,POV: Bạn thực sự đã tìm được bài hát về pate trên cuộc đời này =)) Nhân Hòa Foods POV: Thực sự có bài hát về pate 900,Nhân Hòa Foods,Nhân Hòa Foods
img_0029,pate,http://minio-api.younetmedia.com/thumbnails/7593326005163658504/7593326005163658504_music_cover.jpg,7593326005163658504,dev,False,VTDC,,
img_0030,pate,http://minio-api.younetmedia.com/thumbnails/7593326005163658504/7593326005163658504_cover.jpg,7593326005163658504,dev,False,VTDC Vui Thôi Đừng Ca COFFEE HIGHLANDS COFEE Pate Cột Đền x Highlands Patê CỘT ĐÈN HẢI PHÒNG HEO BỆNH,Highlands Coffee,Highlands Coffee
img_0031,pate,http://minio-api.younetmedia.com/thumbnails/7593326005163658504/7593326005163658504_origin_cover.jpg,7593326005163658504,dev,False,VTDC Vui Thôi Đừng Ca HIGHLANDS COFFEE HIGHLANDS COFEE Patê CỘT ĐÈN HẢI PHÒNG HEO BỆNH,Highlands Coffee,Highlands Coffee
img_0032,pate,http://minio-api.younetmedia.com/thumbnails/7593326005163658504/7593326005163658504_dynamic_cover.jpg,7593326005163658504,dev,False,VTDC Vui Thôi Đừng Ca HIGHLANDS COFFEE HIGHLANDS COFEE Patê CỘT ĐÈN HẢI PHÒNG HEO BỆNH,Highlands Coffee,Highlands Coffee
img_0033,pate,http://minio-api.younetmedia.com/thumbnails/7594384883544313095/7594384883544313095_dynamic_cover.jpg,7594384883544313095,train,False,,Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0034,pate,http://minio-api.younetmedia.com/thumbnails/7594384883544313095/7594384883544313095_origin_cover.jpg,7594384883544313095,train,False,"Đồ hộp Hạ Long bất ngờ khẳng định sản phẩm an toàn vì virus đã bị ""tiêu diệt""?? TIKTOK aFamily",Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0035,pate,http://minio-api.younetmedia.com/thumbnails/7594384883544313095/7594384883544313095_cover.jpg,7594384883544313095,train,False,"Đồ hộp Hạ Long bất ngờ khẳng định sản phẩm an toàn vì virus đã bị ""tiêu diệt""?? TIKTOK aFamily Cập nhật thêm về vụ đồ hộp Hạ Long!!!",,
img_0036,pate,http://minio-api.younetmedia.com/thumbnails/7594384883544313095/7594384883544313095_music_cover.jpg,7594384883544313095,train,False,,,
img_0037,pate,http://minio-api.younetmedia.com/thumbnails/7593213459165089046/7593213459165089046_music_cover.jpg,7593213459165089046,dev,False,,,
img_0038,pate,http://minio-api.younetmedia.com/thumbnails/7593213459165089046/7593213459165089046_origin_cover.jpg,7593213459165089046,dev,False,Xác nhận Highlands Coffee là đối tác tiêu thụ lớn của Công ty Cổ phần Đồ hộp Hạ Long.,Highlands Coffee,Highlands Coffee
img_0039,pate,http://minio-api.younetmedia.com/thumbnails/7593213459165089046/7593213459165089046_dynamic_cover.jpg,7593213459165089046,dev,False,Xác nhận Highlands Coffee là đối tác tiêu thụ lớn của Công ty Cổ phần Đồ hộp Hạ Long.,Highlands Coffee,Highlands Coffee
img_0040,pate,http://minio-api.younetmedia.com/thumbnails/7593213459165089046/7593213459165089046_cover.jpg,7593213459165089046,dev,False,Xác nhận Highlands Coffee là đối tác tiêu thụ lớn của Công ty Cổ phần Đồ hộp Hạ Long.,Highlands Coffee,Highlands Coffee
img_0041,pate,http://minio-api.younetmedia.com/thumbnails/7594763329013288213/7594763329013288213_music_cover.jpg,7594763329013288213,dev,False,Easy on Me,,
img_0042,pate,http://minio-api.younetmedia.com/thumbnails/7594763329013288213/7594763329013288213_origin_cover.jpg,7594763329013288213,dev,False,"KHỦNG KHIẾP: ĐỒ HỘP HẠ LONG XIN TIÊU HỦY 14.000 HỘP PATÊ, TẤT CẢ ĐỀU DƯƠNG TÍNH VỚI VIRUS DỊCH TẢ LỢN CHÂU PHI",Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0043,pate,http://minio-api.younetmedia.com/thumbnails/7594763329013288213/7594763329013288213_dynamic_cover.jpg,7594763329013288213,dev,False,"KHỦNG KHIẾP: ĐỒ HỘP HẠ LONG XIN TIÊU HỦY 14.000 HỘP PATÊ, TẤT CẢ ĐỀU DƯƠNG TÍNH VỚI VIRUS DỊCH TẢ LỢN CHÂU PHI",Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0044,pate,http://minio-api.younetmedia.com/thumbnails/7594763329013288213/7594763329013288213_cover.jpg,7594763329013288213,dev,False,"KHỦNG KHIẾP: ĐỒ HỘP HẠ LONG XIN TIÊU HỦY 14.000 HỘP PATÊ, TẤT CẢ ĐỀU DƯƠNG TÍNH VỚI VIRUS DỊCH TẢ LỢN CHÂU PHI",Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0045,pate,http://minio-api.younetmedia.com/thumbnails/7597295414060043528/7597295414060043528_dynamic_cover.jpg,7597295414060043528,train,False,,Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0046,pate,http://minio-api.younetmedia.com/thumbnails/7597295414060043528/7597295414060043528_music_cover.jpg,7597295414060043528,train,False,,,
img_0047,pate,http://minio-api.younetmedia.com/thumbnails/7597295414060043528/7597295414060043528_origin_cover.jpg,7597295414060043528,train,False,,Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0048,pate,http://minio-api.younetmedia.com/thumbnails/7597295414060043528/7597295414060043528_cover.jpg,7597295414060043528,train,False,,Pate Cột Đèn Hải Phòng,Pate Cột Đèn Hải Phòng
img_0049,pate,http://minio-api.younetmedia.com/thumbnails/7596369197156879623/7596369197156879623_dynamic_cover.jpg,7596369197156879623,train,False,"HOA SEN HOME | CHUYỆN GIẢN DỊ - BÁO VỀ NGƯỜI DÙNG | XÂY NHÀ - TỚI HOA SEN HOME | KHÔNG LO MUA NHẦM HÀNG GIẢ - HÀNG NHÁI - HÀNG KÉM CHẤT LƯỢNG | CAM KẾT ĐÚNG 1 - ĐỔI ĐÚNG 1 - DỊCH VỤ TẬN TÂM - BẢO HÀNH - ĐỔI TRẢ | Sự thật đằng sau mác ""Doanh nghiệp chế biến thực phẩm 70 năm uy tín"" | Phát sóng vào 17h10 Thứ Sáu hàng tuần trên VTV1",HOA SEN HOME,HOA SEN HOME
img_0050,pate,http://minio-api.younetmedia.com/thumbnails/7596369197156879623/7596369197156879623_music_cover.jpg,7596369197156879623,train,False,HOA SEN HOME | CHỐNG GIAN LẬN | BẢO VỆ NGƯỜI DÙNG,HOA SEN HOME,HOA SEN HOME
img_0051,pate,http://minio-api.younetmedia.com/thumbnails/7596369197156879623/7596369197156879623_cover.jpg,7596369197156879623,train,False,"HOA SEN HOME | CHỐNG GIAN LẬN | BẢO VỆ NGƯỜI DÙNG | XÂY NHÀ - TỚI HOA SEN HOME | KHÔNG LO MUA NHẦM HÀNG GIẢ - HÀNG NHÁI - HÀNG KÉM CHẤT LƯỢNG | CAM KẾT ĐÚNG TIÊU CHUẨN - ĐÚNG CHẤT LƯỢNG - ĐỦ HÓA ĐƠN - ĐƯỢC BẢO HÀNH | Sự thật đằng sau mác ""Doanh nghiệp chế biến thực phẩm 70 năm uy tín"" | Phát sóng vào 17h10 Thứ Sáu hàng tuần trên VTV1",HOA SEN HOME,HOA SEN HOME
