image_id,ocr_text,product_name
img_2934,HALONG CANFUCO j TIkTok @hanoinewsIheannzb HÀ NỘl NEWS,
img_2935,,
img_2936,Op News 11/01/2026 1 9 6 7 N C E 5 / 0 ĐO TAM DUNG SaN XUAT %hbng,
img_2937,,
img_2938,Op News 11/01/2026 1 9 6 7 c E N 9 CANFOCO HALONG hòng,Ha Long Canfoco
img_2939,Opp Ncws 9 6 7 Đ@ TAIM DUNG SAN XUAT hbng,
img_2940,,
img_2941,,
img_2942,VÀ DI SẢN TRONG KIHH D.OANH,
img_2943,VÀ DI SẢN TRONG KIHH D.OANH,
img_2944,,
img_2945,2 patê ĐEN ',Pate
img_2946,patê PHỖNG cỘTĐ@N 1509 8/1/2026 PHÁT HIỆN VIRUS DỊCH TẢ LỢN CHÂU PHI TRONG SẢN PHẨM ĐÓNG HỘP CỦA CÔNG TY ĐỔ HỘP HẠ LONG,Pate
img_2947,2 Patê cỘT ĐEN PHỖNG HAI 8/1/2026 PHÁT HIỆN VIRUS DỊCH TẢ LỢN CHÂU PHI TRONG SẢN PHẨM ĐÓNG HỘP CỦA CÔNG TY ĐỔ HỘP HẠ LONG,Pate Cột Đèn Hải Phòng
img_2948,,
img_2949,,
img_2950,,
img_2951,170 TẤN THỊT CHUYỆN GÌ ĐÃ XẢY RA?,
img_2952,LINH,
img_2953,,
img_2954,Công ty Đồ Hộp Hạ Long là một trong những công ty được niêm yết sớm nhất ở Việt Nam,Đồ Hộp Hạ Long
img_2955,,
img_2956,DRAMA,
img_2957,DRAMA Pate €èn Nỗi đau chc sỬ gười dun .,Pate
img_2958,YNI,
img_2959,"YNI Pate cột đèn, ai khóc nỗi đau này",Pate Cột Đèn Hải Phòng
img_2960,,
img_2961,,
img_2962,GOCRHÌN,
img_2963,,
img_2964,,
img_2965,"N € E 1 8 5 7 Ratê CỘTĐZN Pate Côt Đèn truyền thống vạ lây, tiểu thương lao đao sau bê bối Đô hộp Hạ Long",Pate
img_2966,"8 5 7 Ratê HALONG= CAnFoco Pate Cột Đèn truyên thống vạ lây, tiểu thương lao đao sau bê bối Đô hộp Hạ Long",Ha Long Canfoco Pate
img_2967,"C@TĐEN Pate Cột Đèn thổng vạ lây, truyên tiểu thương lao đao sau bê bối Đổ hộp Hạ Long",Pate Cột Đèn Hải Phòng
img_2968,4 8 2 8,
img_2969,9 = 8,
img_2970,{ 8,
img_2971,ẵ 1 4,
img_2972,,
img_2973,,
img_2974,,
img_2975,,
img_2976,"522 BÊ BỐl 130 TẤN THỊT HEO BỆNH TẠI ĐỔ HỘP HẠ LOMG CEO NHẬN LUONG TIÊN TỶ, cỔ PHIẾU CAN ""BỐC HOl"" HON NỬA GIÁ TRỊI",CON BÒ SỮA
img_2977,CONGDONGCHUNGKHOAN VIET,
img_2978,"CONGDONGCHUNGKHOAN VIET HALONG CANFOCO 50 2200082018 FSSC 22000 BÊ BỐl 130 TẤN THỊT HEO BỆNH TẠI ĐỔ HỘP HẠ LONG - CEO NHẬN LUONG TIÊN TỶ, CỔ PHIẾU CAN GIÁ CONGDONGCHUNGKHOAN VIET",Ha Long Canfoco
img_2979,"CONGDONGCHUNGKHOAN VIET HAILONG CANFOCO Fate BÊ BỐl 130 TẤN THỊT HEO BỆNH TẠI ĐỔ HỘP HẠ LONG CEO NHẬN LUONG TIÊN TỶ, CỔ PHIẾU CAN ""BỐC HƠl"" HON NỦA GIÁ TRỊỊ CONGDONGCHUNGKHOAN VIET",Ha Long Canfoco
img_2980,,
img_2981,!KHÔNG ĂN PATE CỘT BÁNH MỲ QUE CỦA HIGHLANDS THÌ ĂN KHÔNG TRƯỢT PHÁT MÀO Dasani Mì Que (off,Pate
img_2982,!KHÔNG ĂN PATE CỘT ĐÈN CỦA ĐỒ HỘP HẠ LONG NHUNG BÁNH MỲ QUE CỦA HIGHLANDS THÌ ĂN KHÔNG TRUỢT PHÁT MÀO Báph Mì Que 09 (Off,Đồ Hộp Hạ Long
img_2983,ĐẺN CÙR ĐÒ HÔF HẠ LONG NHƯNG KHONG TRƯỢT PHAT NAO Dasan,Pate Hạ Long
img_2984,,
img_2985,Bấm Theo dõi Phúc Tài Chính 3atê CỘT ĐEN THIT LỢN XAY,
img_2986,Bấm Theo dõi Phúc Tài Chinh Fatê Thit LONXAY,
img_2987,Fatê THITLONXAY,
img_2988,HALONG aatê VEWS #Sàn phẩm bởi DSC Al 11/01/2026 TỔNG GIÁM ĐỐC CTCP ĐỔ HỘP HẠ LONG CÙNG THUỘC CẤP BỊ BẮT 3,CÔNG TY CỔ PHẦN ĐỒ HỘP HẠ LONG
img_2989,Epic Motivation Kidmada,
img_2990,1 9 5 7 HALONG CANFOCO NEWS *Sản phẩm bởi DSC AI 11/01/2026 TỔNG GIÁM ĐỐC CTCP ĐỔ HỘP HẠ LONG CÙNG 3 THUỘC CẤP BỊ BẮT,Ha Long Canfoco
img_2991,1 9 5 7 HALONG CANFOCO NEWS *Sản phẩm bởi DSC AI 11/01/2026 TỔNG GIÁM ĐỐC CTCP ĐỔ HỘP HẠ LONG CÙNG 3 THUỘC CẤP BỊ BẮT,Ha Long Canfoco
img_2992,HGUỔH: BÁO DÂN TRÍ 36 NEWS Bò @e cỘTĐ Hp Ratê NEWS 36 PHỖNG HAI Ngày Đăng: 11/1/2026 TỔHG GIÁM ĐỐC BỊ BẮT DỪNG HOẠT ĐỘNG,
img_2993,36 NEWS Bo @ángữ cỘTĐ Hp NEWS 36 Ngày Dăng: 11/1/2026 TỔNG GlÁM ĐỐC BỊ BẮT KHÀ MÁY ĐỔ HỘP HẠ LONG,Hạ Long Canfoco Pate
img_2994,2026 36,
img_2995,NEWS at Bò Fatê NEWS 36 COTĐEN,
img_2996,,
img_2997,,
img_2998,Ratê on VỤ ÁN GẦN 130 TẤN THỊT LỢN BỆNH THỦ ĐOẠN HỢP THỨC HÓA GÂY SỐC HALOHG ĐỔ HỘP HA LON Carfoco HALONG CANFOCO,Ha Long Canfoco
img_2999,natê THÚ ĐOAN HỢP THỨC HÓA GẦY SỔC ĐỔ HỘPHẠ LON HALONG CANFCCO,Hạ Long Canfoco Đồ hộp
img_3000,CHÂN DUNG TGĐ ĐỔ HỘP HA LONG ĐỒ HỘPHẠ LCNG HALONG CANFOCC TỔNG GlÁM ĐỐC ĐỔ HỘP HẠ LONG VỪA BỊ BẮT LÀ Al?,CÔNG TY CỔ PHẦN ĐỒ HỘP HẠ LONG
img_3001,,
